Filename,CommitSHA,Author,Date
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,4a2529a807bf4de31211e622a102410eb9bd995b,Scott Alexander-Bown,2016-07-01T20:13:06Z
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,8156ec0fa01ec4a37760f0f49f9aa0497232827a,Scott Alexander-Bown,2016-07-01T20:13:52Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,4b04449da08a200e04cc5d0d341ffc06f8e251ab,leocadiotine,2016-09-14T21:25:21Z
rootbeerlib/jni/toolChecker.cpp,43613249a26d72049d8244014e912d5d5818edaa,aippisch,2016-09-16T14:04:45Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,55a4c8f28bf53e479a485fb9ba44279144f6526e,Matthew Rollings,2017-02-15T12:53:36Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,55a4c8f28bf53e479a485fb9ba44279144f6526e,Matthew Rollings,2017-02-15T12:53:36Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,55a4c8f28bf53e479a485fb9ba44279144f6526e,Matthew Rollings,2017-02-15T12:53:36Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,82fb875698341f468a5a067cc533a3479b35baf4,Matthew Rollings,2017-03-13T22:05:11Z
rootbeerlib/src/main/jni/toolChecker.cpp,206753334799b7335506ea639443f68937e434fe,matthew,2017-03-13T22:35:27Z
rootbeerlib/src/main/jni/toolChecker.h,206753334799b7335506ea639443f68937e434fe,matthew,2017-03-13T22:35:27Z
rootbeerlib/jni/toolChecker.cpp,206753334799b7335506ea639443f68937e434fe,matthew,2017-03-13T22:35:27Z
rootbeerlib/jni/toolChecker.h,206753334799b7335506ea639443f68937e434fe,matthew,2017-03-13T22:35:27Z
rootbeerlib/src/main/jni/toolChecker.cpp,1daad8af2f17955409291ff09bdd1c961b656f63,matthew,2017-03-13T22:55:31Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,22c503f888ca7c1fea110f310593b2e60d333797,Matthew Rollings,2017-03-24T13:30:47Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,51151efbd9a53a88a01425f02bc46f55156cbda2,Matthew Rollings,2017-03-24T13:31:19Z
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,e8c54eca9e643d6ec93064ed4a15254a14685981,Matthew Rollings,2017-03-24T13:41:16Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,91e0a1137bb78c1e33e209ca0cd3f8946f8682fe,Matthew Rollings,2017-03-24T16:11:58Z
